Date,Door,Device ID,Device,User Group,User,Event
2019-04-01 16:35:09,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,97615,1:N authentication succeeded (Face)
2019-04-01 16:35:00,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,90166,1:N authentication succeeded (Face)
2019-04-01 16:34:52,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,81765,1:N authentication succeeded (Face)
2019-04-01 16:34:45,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,3609,1:N authentication succeeded (Face)
2019-04-01 16:34:36,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,3609,1:N authentication succeeded (Face)
2019-04-01 16:34:20,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,82265,1:N authentication succeeded (Face)
2019-04-01 16:34:19,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,52108,1:N authentication succeeded (Face)
2019-04-01 16:34:13,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,87823,1:N authentication succeeded (Face)
2019-04-01 16:33:49,,542340161,FaceStation 2 542340161 (192.168.128.8),,,Authentication failed (Timeout)
2019-04-01 16:33:48,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,89629,1:N authentication succeeded (Face)
2019-04-01 16:33:40,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,89923,1:N authentication succeeded (Face)
2019-04-01 16:33:39,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,96958,1:N authentication succeeded (Face)
2019-04-01 16:33:36,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,2387,1:N authentication succeeded (Face)
2019-04-01 16:33:28,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,102735,1:N authentication succeeded (Face)
2019-04-01 16:33:24,,542189843,FaceStation 2 542189843 (192.168.128.17),All Users,39112,1:N authentication succeeded (Face)
2019-04-01 16:33:23,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,97510,1:N authentication succeeded (Face)
2019-04-01 16:33:19,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,102877,1:N authentication succeeded (Face)
2019-04-01 16:32:55,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,100734,1:N authentication succeeded (Face)
2019-04-01 16:32:55,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,102261,1:N authentication succeeded (Face)
2019-04-01 16:32:52,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,52241,1:N authentication succeeded (Face)
2019-04-01 16:32:47,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,88316,1:N authentication succeeded (Face)
2019-04-01 16:32:43,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,90602,1:N authentication succeeded (Face)
2019-04-01 16:32:40,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,32870,1:N authentication succeeded (Face)
2019-04-01 16:32:31,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,81743,1:N authentication succeeded (Face)
2019-04-01 16:32:29,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,2989,1:N authentication succeeded (Face)
2019-04-01 16:32:26,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,100421,1:N authentication succeeded (Face)
2019-04-01 16:32:24,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,3387,1:N authentication succeeded (Face)
2019-04-01 16:32:20,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,100476,1:N authentication succeeded (Face)
2019-04-01 16:32:19,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,87819,1:N authentication succeeded (Face)
2019-04-01 16:32:12,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,96967,1:N authentication succeeded (Face)
2019-04-01 16:32:12,,542189843,FaceStation 2 542189843 (192.168.128.17),,,Authentication failed (Timeout)
2019-04-01 16:32:11,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,100137,1:N authentication succeeded (Face)
2019-04-01 16:32:08,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,822377,1:N authentication succeeded (Face)
2019-04-01 16:32:06,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,97905,1:N authentication succeeded (Face)
2019-04-01 16:32:03,,542189843,FaceStation 2 542189843 (192.168.128.17),,,Authentication failed (Timeout)
2019-04-01 16:32:01,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,102258,1:N authentication succeeded (Face)
2019-04-01 16:31:58,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,88226,1:N authentication succeeded (Face)
2019-04-01 16:31:54,,542189843,FaceStation 2 542189843 (192.168.128.17),,,Authentication failed (Timeout)
2019-04-01 16:31:49,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,100561,1:N authentication succeeded (Face)
2019-04-01 16:31:47,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,97852,1:N authentication succeeded (Face)
2019-04-01 16:31:46,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,87776,1:N authentication succeeded (Face)
2019-04-01 16:31:42,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,93702,1:N authentication succeeded (Face)
2019-04-01 16:31:41,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,46768,1:N authentication succeeded (Face)
2019-04-01 16:31:36,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,85681,1:N authentication succeeded (Face)
2019-04-01 16:31:36,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,88327,1:N authentication succeeded (Face)
2019-04-01 16:31:36,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,102633,1:N authentication succeeded (Face)
2019-04-01 16:31:33,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,85681,1:N authentication succeeded (Face)
2019-04-01 16:31:33,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,53610,1:N authentication succeeded (Face)
2019-04-01 16:31:30,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,92998,1:N authentication succeeded (Face)
2019-04-01 16:31:29,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,100141,1:N authentication succeeded (Face)
2019-04-01 16:31:26,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,48001,1:N authentication succeeded (Face)
2019-04-01 16:31:22,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,93621,1:N authentication succeeded (Face)
2019-04-01 16:31:18,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,100562,1:N authentication succeeded (Face)
2019-04-01 16:31:17,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,100917,1:N authentication succeeded (Face)
2019-04-01 16:31:14,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,93631,1:N authentication succeeded (Face)
2019-04-01 16:31:14,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,88325,1:N authentication succeeded (Face)
2019-04-01 16:31:12,,542189346,FaceStation 2 542189346 (192.168.128.224),,,Authentication failed (Timeout)
2019-04-01 16:31:10,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,52241,1:N authentication succeeded (Face)
2019-04-01 16:31:10,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,2383,1:N authentication succeeded (Face)
2019-04-01 16:31:08,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,100611,1:N authentication succeeded (Face)
2019-04-01 16:31:07,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,93659,1:N authentication succeeded (Face)
2019-04-01 16:31:05,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,93620,1:N authentication succeeded (Face)
2019-04-01 16:31:04,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,99502,1:N authentication succeeded (Face)
2019-04-01 16:31:03,,542189346,FaceStation 2 542189346 (192.168.128.224),,,Authentication failed (Timeout)
2019-04-01 16:31:02,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,88250,1:N authentication succeeded (Face)
2019-04-01 16:30:57,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,100998,1:N authentication succeeded (Face)
2019-04-01 16:30:57,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,92985,1:N authentication succeeded (Face)
2019-04-01 16:30:55,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,70209,1:N authentication succeeded (Face)
2019-04-01 16:30:49,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,97909,1:N authentication succeeded (Face)
2019-04-01 16:30:44,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,98708,1:N authentication succeeded (Face)
2019-04-01 16:30:35,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,89565,1:N authentication succeeded (Face)
2019-04-01 16:30:33,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,259,1:N authentication succeeded (Face)
2019-04-01 16:30:23,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,102248,1:N authentication succeeded (Face)
2019-04-01 16:30:03,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,70075,1:N authentication succeeded (Face)
2019-04-01 16:30:02,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,98442,1:N authentication succeeded (Face)
2019-04-01 16:29:47,,542189843,FaceStation 2 542189843 (192.168.128.17),All Users,100318,1:N authentication succeeded (Face)
2019-04-01 16:29:30,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,102360,1:N authentication succeeded (Face)
2019-04-01 16:29:27,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,70773,1:N authentication succeeded (Face)
2019-04-01 16:29:13,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,65442,1:N authentication succeeded (Face)
2019-04-01 16:29:02,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,88096,1:N authentication succeeded (Face)
2019-04-01 16:28:25,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,100048,1:N authentication succeeded (Face)
2019-04-01 16:28:12,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,102693,1:N authentication succeeded (Face)
2019-04-01 16:28:08,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,102584,1:N authentication succeeded (Face)
2019-04-01 16:27:58,,542189843,FaceStation 2 542189843 (192.168.128.17),All Users,92879,1:N authentication succeeded (Face)
2019-04-01 16:27:40,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,105018,1:N authentication succeeded (Face)
2019-04-01 16:27:31,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,105012,1:N authentication succeeded (Face)
2019-04-01 16:27:13,,542189843,FaceStation 2 542189843 (192.168.128.17),All Users,97777,1:N authentication succeeded (Face)
2019-04-01 16:27:13,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,97633,1:N authentication succeeded (Face)
2019-04-01 16:27:12,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,90636,1:N authentication succeeded (Face)
2019-04-01 16:27:08,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,102436,1:N authentication succeeded (Face)
2019-04-01 16:27:05,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,102757,1:N authentication succeeded (Face)
2019-04-01 16:27:03,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,70775,1:N authentication succeeded (Face)
2019-04-01 16:27:01,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,102435,1:N authentication succeeded (Face)
2019-04-01 16:26:59,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,86592,1:N authentication succeeded (Face)
2019-04-01 16:26:57,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,136,1:N authentication succeeded (Face)
2019-04-01 16:26:56,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,105507,1:N authentication succeeded (Face)
2019-04-01 16:26:56,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,86592,1:N authentication succeeded (Face)
2019-04-01 16:26:51,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,102736,1:N authentication succeeded (Face)
2019-04-01 16:26:51,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,3068,1:N authentication succeeded (Face)
2019-04-01 16:26:49,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,92939,1:N authentication succeeded (Face)
2019-04-01 16:26:48,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,92775,1:N authentication succeeded (Face)
2019-04-01 16:26:48,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,105008,1:N authentication succeeded (Face)
2019-04-01 16:26:44,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,105008,1:N authentication succeeded (Face)
2019-04-01 16:26:40,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,83677,1:N authentication succeeded (Face)
2019-04-01 16:26:39,,542189346,FaceStation 2 542189346 (192.168.128.224),,,Authentication failed (Timeout)
