Fecha	ID Dispositivo	Dispositivo	Grupo Usuario	Usuario	Evento
16/12/2019 17:38	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	115595	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	117278	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	119345	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	2074	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542185239	FaceStation 2 542185239 (192.168.1.200)	All Users	1092	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	118886	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	118824	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542185216	FaceStation 2 542185216 (192.168.1.201)	All Users	61364	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	116485	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	42486	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	69114	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542185216	FaceStation 2 542185216 (192.168.1.201)	All Users	488	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	711	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542185239	FaceStation 2 542185239 (192.168.1.200)	All Users	117129	1:N Autenticaciￃﾳn exitosa (Rostro)
